refseq	species	ani	medani	gcaeani	exmani	busco	meanexn	medexn	ebgfr	bgfr	bgwe	bgcov	bpcds	bpexm	cdpc	ref	query
Fungi	Metarhizium_brunneum	99.99572680063221	100.0	99.99281140350878	99.86504062038401	hypocreales	1282.050124181531	1023.0	4437	228	4400	.99166103222898354744	15883278	15733390	.99056315705108227659	GCF_000814965.1_MBR_1.0_cds_from_genomic.fna	GCA_013426205.1_ASM1342620v1_genomic.fna
Fungi	Trichoderma_gamsii	99.45292951642342	99.612	99.45388687782804	98.94885357274384	hypocreales	1266.5752737226278	1015.0	4394	224	4310	.98088302230314064633	16552085	15649055	.94544312695349256604	GCF_001481775.2_TGAM01v2_cds_from_genomic.fna	GCA_002894205.1_A5MHv2.1_genomic.fna
Fungi	Pochonia_chlamydosporia	98.63524847112143	98.867	98.51201304347823	97.89937236608837	hypocreales	1208.7193657984144	974.0	4433	233	4377	.98736747123843898037	19682412	16772909	.85217751767415497653	GCF_001653235.2_ASM165323v2_cds_from_genomic.fna	GCA_000411695.4_PcB1v4_genomic.fna
Fungi	Fusarium_coffeatum	99.69904232684478	99.894	99.59985714285712	98.92307729791351	hypocreales	1285.3399728383883	1020.5	4430	233	4359	.98397291196388261851	18023202	16790478	.93160349642643965262	GCF_003316985.1_ASM331698v1_cds_from_genomic.fna	GCA_004367465.1_FIESC_28_NRRL_66322_ITEM_1616_genomic.fna
Fungi	Fusarium_mangiferae	99.99073460246368	100.0	99.99579487179487	99.9537817492243	hypocreales	1270.868980963046	1013.0	4477	236	4459	.99597945052490507035	22861743	22105235	.96690943468308606216	GCF_900044065.1_Genome_assembly_version_1_cds_from_genomic.fna	GCA_013758935.1_ASM1375893v1_genomic.fna
Fungi	Hirsutella_rhossiliensis	99.99349585294773	100.0	99.99748684210527	99.43221698772325	hypocreales	1090.7583501457073	895.0	4470	229	4439	.99306487695749440715	17180175	15134029	.88090074751857882704	GCF_020360975.1_ASM2036097v1_cds_from_genomic.fna	GCA_004142005.1_ASM414200v1_genomic.fna
Fungi	Drechmeria_coniospora	99.82535626980533	99.892	99.8475085470085	97.36530813242531	hypocreales	1281.5694884563152	1031.5	4424	235	4367	.98711573236889692585	12850311	14718507	1.14538138415482706994	GCF_001625195.1_ASM162519v1_cds_from_genomic.fna	GCA_001618945.2_ASM161894v2_genomic.fna
Fungi	Glarea_lozoyensis	99.98859762275917	100.0	99.99018777292575	99.97879046379167	helotiales	1180.1286048324241	932.0	5145	230	5108	.99280855199222546161	18866310	18408628	.97574077813838530163	GCF_000409485.1_GLAREA_cds_from_genomic.fna	GCA_000238015.2_LBAGla_1.0_genomic.fna
Fungi	Botrytis_porri	99.91658117326055	100.0	99.9105	99.88363156342189	helotiales	1191.883063730267	941.0	5148	233	5120	.99456099456099456099	16870340	16203901	.96049640967520512331	GCF_014898465.1_ASM1489846v1_cds_from_genomic.fna	GCA_004786265.1_ASM478626v1_genomic.fna
Fungi	Verticillium_alfalfae	99.96356060606033	100.0	99.96466981132075	99.88800175671618	glomerellales	961.5427714646464	776.0	6362	214	5935	.93288274127632819867	13444173	12866153	.95700590880524967954	GCF_000150825.1_ASM15082v1_cds_from_genomic.fna	GCA_002851655.1_ASM285165v1_genomic.fna
Fungi	Colletotrichum_graminicola	99.86678238569746	99.957	99.86398706896547	99.76549619138713	glomerellales	1110.1317409144197	887.0	6836	233	6803	.99517261556465769455	16792998	15771364	.93916309642864246157	GCF_000149035.1_C_graminicola_M1_001_V1_cds_from_genomic.fna	GCA_001951205.1_ASM195120v1_genomic.fna
Fungi	Aspergillus_pseudonomiae	99.91809942224366	100.0	99.87182017543861	99.73304993109663	eurotiales	1218.6526239768898	970.5	4168	229	4113	.98680422264875239923	18466803	17507026	.94802689994581086937	GCF_009193645.1_Asppsen1_cds_from_genomic.fna	GCA_009176395.1_Asppse1_genomic.fna
Fungi	Aspergillus_aculeatinus	99.94829596735492	100.0	99.96123275862071	99.83324553417553	eurotiales	1216.0504080652904	975.5	4176	233	4130	.98898467432950191570	17105376	16545055	.96724298840317804180	GCF_003184765.1_Aspacu1_cds_from_genomic.fna	GCA_016748025.1_ASM1674802v1_genomic.fna
Fungi	Aspergillus_alliaceus	99.7342512019232	99.785	99.772154185022	99.43034381743396	eurotiales	1203.2213942307692	967.0	4171	229	4118	.98729321505634140493	17626441	16510834	.93670832359181300411	GCF_009176365.1_Aspalli1_cds_from_genomic.fna	GCA_009193605.1_Aspalbe1_genomic.fna
Fungi	Aspergillus_chevalieri	99.91024975938383	99.954	99.83791739130437	99.60956512189765	eurotiales	1238.9400866217518	987.0	4166	231	4137	.99303888622179548727	14293839	13460719	.94171474857104518946	GCF_016861735.1_AchevalieriM1_assembly01_cds_from_genomic.fna	GCA_001599875.1_JCM_23047_assembly_v001_genomic.fna
Fungi	Aspergillus_ochraceoroseus	99.99518	100.0	99.99303896103898	99.96680496784427	eurotiales	1156.6486746987953	923.0	4168	232	4091	.98152591170825335892	12667948	12041057	.95051361120206682250	GCF_002846915.1_Aspergillus_ochraceoroseus_IBT_24754_v1.1_cds_from_genomic.fna	GCA_000986665.1_ASM98666v1_genomic.fna
Fungi	Aspergillus_viridinutans	99.99453115227331	100.0	99.99505701754386	99.96800718065016	eurotiales	1228.6083714216984	980.0	4178	229	4142	.99138343705122067975	14908061	14411400	.96668507058027197500	GCF_018404265.1_Aspvir_assembly01_cds_from_genomic.fna	GCA_004368095.1_ASM436809v1_genomic.fna
Fungi	Aspergillus_versicolor	93.03008703030297	93.103	93.40027192982453	91.75876072832585	eurotiales	1076.0494545454546	873.0	4176	232	4091	.97964559386973180076	19088086	13729918	.71929254719409793103	GCF_001890125.1_Aspve1_cds_from_genomic.fna	GCA_020284045.1_ASM2028404v1_genomic.fna
Fungi	Aspergillus_nomiae	98.98954169670756	99.158	99.03804385964912	98.19384490995948	eurotiales	1138.2432107666427	907.0	4179	229	4096	.98013878918401531466	17956509	16415568	.91418482289625450024	GCF_001204775.2_ASM120477v2_cds_from_genomic.fna	GCA_000531055.1_HBR9v1_genomic.fna
Fungi	Aspergillus_japonicus	99.82057874489055	99.892	99.8617236842105	99.58119970262761	eurotiales	1129.2219283481606	886.0	4176	231	4132	.98946360153256704980	17063654	15871650	.93014368434803002920	GCF_003184785.1_Aspjap1_cds_from_genomic.fna	GCA_016808025.1_ASM1680802v1_genomic.fna
Fungi	Fonsecaea_multimorphosa	99.99585981757083	100.0	99.9953076923077	99.97182580171963	chaetothyriales	1406.8971035365657	1137.0	6254	234	6239	.99760153501758874320	18393648	18106105	.98436726635194932511	GCF_000836435.1_Fons_mult_CBS_102226_V1_cds_from_genomic.fna	GCA_001646985.1_ASM164698v1_genomic.fna
Fungi	Cladophialophora_immunda	99.8285779935276	99.966	99.80417826086958	99.6675409201816	chaetothyriales	1349.1757281553398	1098.0	6207	235	6162	.99275012083131947800	20780988	18648482	.89738187616488686678	GCF_000835495.1_Clad_immu_CBS83496_V1_cds_from_genomic.fna	GCA_000785585.1_claImm_genomic.fna
Fungi	Exophiala_xenobiotica	92.35376411356907	92.5825	93.05074458874451	91.94942883541088	chaetothyriales	1081.0488610102343	859.0	6240	233	6049	.96939102564102564102	19455726	13373030	.68735702795156551855	GCF_000835505.1_Exop_xeno_CBS118157_V1_cds_from_genomic.fna	GCA_000798695.1_exoXen1.0_genomic.fna
Fungi	Exophiala_oligosperma	83.93648660714283	83.22749999999999	83.70757142857141	87.94213981762937	chaetothyriales	840.7254464285714	591.0	6168	229	890	.14429312581063553826	19376295	1374958	.07096083126314912112	GCF_000835515.1_Exop_olig_CBS72588_V1_cds_from_genomic.fna	GCA_015295565.1_ASM1529556v1_genomic.fna
Fungi	Cladophialophora_bantiana	99.89363505286792	99.951	99.88642857142858	99.82391504431754	chaetothyriales	1397.7502403075937	1125.0	6250	232	6216	.99456000000000000000	18248910	17794694	.97510996547191037711	GCF_000835475.1_Clad_bant_CBS_173_52_V1_cds_from_genomic.fna	GCA_900092765.1_UM956_genomic.fna
Fungi	Cladophialophora_carrionii	97.08996683755204	97.2025	97.29951502145924	96.73699126275206	chaetothyriales	1315.6493111182313	1047.5	6257	233	6227	.99520536998561610995	15269427	14622494	.95763213642528956718	GCF_000365165.1_Clad_carr_CBS_160_54_V1_cds_from_genomic.fna	GCA_001700775.1_ASM170077v1_genomic.fna
Fungi	Fonsecaea_pedrosoi	98.45218023069569	98.553	98.46134042553194	98.00023765347866	chaetothyriales	1359.7177186799104	1094.5	6250	236	6228	.99648000000000000000	18464448	17605491	.95348049397414967401	GCF_000835455.1_Fons_pedr_CBS_271_37_V1_cds_from_genomic.fna	GCA_020310725.1_ASM2031072v1_genomic.fna
Fungi	Saitoella_complicata	99.99712000000001	100.0	99.9992875	99.95782573547801	ascomycota	1347.549696969697	1035.0	1651	241	1639	.99273167777104784978	8928237	8754204	.98050757389168768705	GCF_001661265.1_Saico1_cds_from_genomic.fna	GCA_000227095.3_Scomplicata_3.0_genomic.fna
Invertebrate	Maniola_hyperantus	99.71914631016037	100.0	99.73468493150685	99.11963551560295	lepidoptera	632.924064171123	336.0	5264	244	4643	.88202887537993920972	31967241	19446625	.60832978986206535621	GCF_902806685.1_iAphHyp1.1_cds_from_genomic.fna	GCA_902806615.1_iAphHyp1.1_alternate_haplotype_genomic.fna
Invertebrate	Ooceraea_biroi	99.94882169890664	100.0	99.94156967213118	99.47437501868693	hymenoptera	684.4617325483599	419.0	5982	244	5880	.98294884653961885656	50585078	21856293	.43206996735282290164	GCF_003672135.1_Obir_v5.4_cds_from_genomic.fna	GCA_000611835.1_CerBir1.0_genomic.fna
Invertebrate	Drosophila_subpulchrella	98.82259019426444	98.969	98.77219327731093	98.08325097264422	diptera	925.0931236509405	755.0	3267	239	3218	.98500153045607591062	57003523	28634693	.50233198744575839637	GCF_014743375.2_RU_Dsub_v1.1_cds_from_genomic.fna	GCA_018150325.1_ASM1815032v1_genomic.fna
Invertebrate	Amphibalanus_amphitrite	98.38575493250269	98.655	98.44379411764704	97.6889447219223	arthropoda	443.0166147455867	269.0	993	244	963	.96978851963746223564	109091320	39815657	.36497548109235455213	GCF_019059575.1_NRLGWU_Aamphi_draft_cds_from_genomic.fna	GCA_009805615.1_SNU_Aamp_1_genomic.fna
Invertebrate	Drosophila_rhopaloa	99.83266317411395	100.0	99.85108474576269	99.35658001428457	diptera	1006.3525423728813	805.0	3260	238	3221	.98803680981595092024	51057238	25027159	.49017847381403592571	GCF_018152115.1_ASM1815211v1_cds_from_genomic.fna	GCA_000236305.2_Drho_2.0_genomic.fna
Invertebrate	Harpegnathos_saltator	99.9521922235315	100.0	99.96855416666668	99.51443000348647	hymenoptera	670.486955058071	415.0	5980	240	5901	.98678929765886287625	55398231	22377523	.40393930629301141402	GCF_003227715.1_Hsal_v8.5_cds_from_genomic.fna	GCA_000147195.1_HarSal_1.0_genomic.fna
Invertebrate	Frieseomelitta_varia	99.91741030405396	100.0	99.9165271966527	99.76166547609935	hymenoptera	649.8378378378378	411.0	5969	240	5872	.98374937175406265706	48738648	17325749	.35548275774904548029	GCF_011392965.1_Fvar_1.2_cds_from_genomic.fna	GCA_019969155.1_UNCG_FV_genome_genomic.fna
Invertebrate	Neodiprion_pinetum	99.9112970583234	100.0	99.87739430894311	99.57445173132302	hymenoptera	659.8331916340759	407.0	5941	247	5830	.98131627672109072546	63037633	22245321	.35288953504964248895	GCF_021155775.1_iyNeoPine1.1_cds_from_genomic.fna	GCA_004916985.1_UKY_Npine_v1_genomic.fna
